Name,Image,Tier,来源表格,Crop,Value_Sheckle Price,Value_Robux Price,Value_Min Value,Stock,Multi-Harvest,Obtain-able,Value_Summer Coin Price,Value_Honey Price,Value_Chi Price
Carrot,,Common,All,,,,,,,,,,
Strawberry,,Common,All,,,,,,,,,,
Blueberry,,Uncommon,All,,,,,,,,,,
Rose,,Uncommon,All,,,,,,,,,,
Orange Tulip,,Uncommon,All,,,,,,,,,,
Dezen,,Uncommon,All,,,,,,,,,,
Artichoke,,Uncommon,All,,,,,,,,,,
Onion,,Uncommon,All,,,,,,,,,,
Tomato,,Rare,All,,,,,,,,,,
Daffodil,,Rare,All,,,,,,,,,,
Cauliflower,,Rare,All,,,,,,,,,,
Raspberry,,Rare,All,,,,,,,,,,
Foxglove,,Rare,All,,,,,,,,,,
Corn,,Rare,All,,,,,,,,,,
Horsetail,,Rare,All,,,,,,,,,,
Twisted Tangle,,Rare,All,,,,,,,,,,
Jalapeno,,Rare,All,,,,,,,,,,
Watermelon,,Legendary,All,,,,,,,,,,
Pumpkin,,Legendary,All,,,,,,,,,,
Avocado,,Legendary,All,,,,,,,,,,
Green Apple,,Legendary,All,,,,,,,,,,
Apple,,Legendary,All,,,,,,,,,,
Banana,,Legendary,All,,,,,,,,,,
Lilac,,Legendary,All,,,,,,,,,,
Taro Flower,,Legendary,All,,,,,,,,,,
Bamboo,,Legendary,All,,,,,,,,,,
Rafflesia,,Legendary,All,,,,,,,,,,
Lingonberry,,Legendary,All,,,,,,,,,,
Lucky Bamboo,,Legendary,All,,,,,,,,,,
Veinpetal,,Legendary,All,,,,,,,,,,
Crown Melon,,Legendary,All,,,,,,,,,,
Peach,,Mythical,All,,,,,,,,,,
Pineapple,,Mythical,All,,,,,,,,,,
Amber Spine,,Mythical,All,,,,,,,,,,
Coconut,,Mythical,All,,,,,,,,,,
Cactus,,Mythical,All,,,,,,,,,,
Dragon Fruit,,Mythical,All,,,,,,,,,,
Mango,,Mythical,All,,,,,,,,,,
